food,ruoka,legal
Acorn Squash,Acorn Squash,Legal
Agar-agar,Agar-agar,Illegal
Agave syrup,agave siirappi,Illegal
Algae,levät,Illegal
Allspice,Maustepippuri,Legal
Almond butter,Mantelivoi,Legal
Almond milk,mantelimaito,Legal
Almond oil,manteliöljy,Legal
Almonds,mantelit,Legal
Aloe Vera,Aloe Vera,Illegal
Amaranth flour,Amaranth jauho,Illegal
Anchovies,anjovis,Legal
Apple Cider,Kirkastamaton ja makeuttamaton omenamehu,Legal
Apple Juice,Omena mehu,Illegal
Apples,omenat,Legal
Apricots,aprikoosit,Legal
Arrowroot,Arrowjuuri,Illegal
Artichokes (French),Artisokka (ranska),Legal
Artichokes (Jerusalem),Artisokka (Jerusalem),Illegal
Ascorbic acid,Askorbiinihappo,Legal
Asiago cheese,Asiago juusto,Legal
Asparagus,Parsa,Legal
Aspartame,aspartaami,Legal
Aspartic acid,Asparagiinihappo,Legal
Astragalus,kurjenherne,Illegal
Avocado oil,avokado öljy,Legal
Avocadoes,avokado,Legal
Bacon,Pekoni,Legal
Baker's yeast,leivinhiiva,Illegal
Baking powder,Leivinjauhe,Illegal
Baking soda,Ruokasooda,Legal
Balsamic vinegar,balsamiviinietikka,Illegal
Bananas,banaanit,Legal
Bark tea,Pau d'Arco tee,Illegal
Barley,Ohra,Illegal
Basil,Basilika,Legal
Bay Leaf,Laakerinlehti,Legal
Bean flour,Bean jauhot,Illegal
Bean sprouts,Pavunidut,Illegal
Bee Pollen,Siitepöly,Illegal
Beef,naudanliha,Legal
Beer,Olut,Illegal
Beets,punajuuret,Legal
Berries,marjat,Legal
Bhindi,Okra,Illegal
Bitter Gourd,karvaskurkku,Illegal
Black beans,musta papu,Legal
Black eye beans,"lehmänpapu, pitkäpapu",Illegal
Black radish,Retikka,Legal
Blue cheese,Sinihomejuusto,Legal
Bok Choy,pinaattikiinankaali,Legal
Bologna,Bologna,Illegal
Bouillon cubes,Liemikuutiot,Illegal
Bourbon,Bourbon,Legal
Brandy,Brandy,Illegal
Brazil nuts,brasilialainen pähkinä,Legal
Brick cheese,Brick juusto,Legal
Brie cheese,brie juusto,Legal
Broccoli,Parsakaali,Legal
Brussell sprouts,ruusukaali,Legal
Buckwheat,Tattari,Illegal
Bulgur,bulgur,Illegal
Burdock root,takiaisen juuri,Illegal
Butter,voi,Legal
Butter beans,voi pavut,Illegal
Buttermilk,piimä,Illegal
Butternut squash,myskikurpitsa,Legal
Cabbage,Kaali,Legal
Camembert cheese,Camembert juusto,Legal
Canellini beans,Canellini pavut,Illegal
Canned fish,Kalasäilykkeet,Legal
Canned fruits,säilykehedelmät,Illegal
Canned vegetables,vihannessäilykkeet,Illegal
Canola oil,rypsiöljy,Legal
Cantaloupe,verkkomeloni,Legal
Capers,Kaprikset,Legal
Carob,johanneksenleipäpuu,Illegal
Carrageenan,karrageeni,Illegal
Carrots,Porkkana,Legal
Cashews,cashew,Legal
Cauliflower,Kukkakaali,Legal
Celeriac /celery root,Mukulaselleri / sellerin juuri,Legal
Celery,Selleri,Legal
Cellulose (in supplements),Selluloosa (lisäravinteissa),Legal
Cellulose Gum,selluloosakumi,Illegal
Cereals,Murot,Illegal
Chard,Lehtimangoldi,Legal
Cheddar cheese,Cheddar-juusto,Legal
Cheese,Juusto,Legal
Cherimoya,kirimoija,Legal
Cherries,kirsikat,Legal
Chestnut flour,kastanjajauhot,Illegal
Chestnuts,kastanjat,Legal
Chevre,Chevre,Illegal
Chewing gum,Purukumi,Illegal
Chick peas,kikherne,Illegal
Chickory root,sikurijuuri,Illegal
Chlorella,chlorella,Illegal
Chocolate,Suklaa,Illegal
Cilantro,Cilantro,Legal
Cinnamon,Kaneli,Legal
Citric Acid,Sitruunahappo,Legal
Club soda,Soodavesi,Legal
Cocoa powder,Kaakaojauhe,Illegal
Coconut,kookospähkinä,Legal
Coconut milk,Kookosmaito,Legal
Coconut oil,Kookosöljy,Legal
Coffee,kahvi,Legal
Coffee (instant),Kahvi (instant),Illegal
Colby cheese,Colby juusto,Legal
Collard greens,Collard kasviksia,Legal
Cordials,"Liköörit, mehutiivisteet",Illegal
Corn,Maissi,Illegal
Corn oil,Maissiöljy,Legal
Corn syrup,Maissi siirappi,Illegal
Cornstarch,Maissitärkkelys,Illegal
Cottage cheese,Raejuusto,Illegal
Courgette,Kesäkurpitsa,Legal
Cranberry juice,Karpalomehu,Legal
Cream,Kerma,Illegal
Cream cheese,Kermajuusto,Illegal
Cream of Tartar,Viinikivi,Illegal
Croscomellose sodium,Kroskarmelloosi,Illegal
Cucumbers,kurkku,Legal
Custard apple,annoona,Legal
Cyclamate,syklamaatti,Legal
Date sugar,taateli sokeri,Illegal
Dates,taateli,Legal
Decaffeinated Products,kofeiinittomat Tuotteet,Illegal
Dextrose (contained in commercial products),Dekstroosi (kaupalliset tuotteet sisältävät),Illegal
Dried milk solids,Kuivatut maidon kiintoaineet,Illegal
Drumsticks,koivet,Illegal
Dry Curd Cottage Cheese (DCCC),Kuiva Rahka tuorejuusto (DCCC),Legal
Durum Flour,Durumvehnäjauho,Illegal
Echinacea,Echinacea,Legal
Edam cheese,edamjuusto,Legal
Eggplant,Munakoiso,Legal
Eggs,munat,Legal
EMPower,EMPower lisäravinne,Illegal
Ethanol,etanoli,Legal
Evaporated cane juice,sokeriruo'on kuivattu mehu,Illegal
Ezekiel Bread,Ezekiel Leipä,Illegal
Faba beans,härkäpapu,Illegal
Fenugreek,Sarviapila,Illegal
Feta Cheese,Fetajuusto,Illegal
Figs,viikunat,Legal
Filberts (hazelnuts),hasselpähkinä,Legal
Fish,kala,Legal
Flax seed,pellavansiemenet,Illegal
Flax seed oil,Pellavansiemenöljy,Legal
Flour,Jauhot,Illegal
FOS,FOS,Illegal
Fowl,riistalintu,Legal
Frozen Orange Juice (concentrated),Jäädytetty appelsiinimehu (tiiviste),Illegal
Fructose (granulated),Fruktoosi (rakeistettu),Illegal
Fruits (canned),hedelmäsäilykkeet,Legal
Garbanzo beans,garbanzo pavut,Illegal
Garfava flour,Garfava jauhot,Illegal
Garlic,Valkosipuli,Legal
Gelatin (unflavored),Gelatiini (maustamaton),Legal
Ghee,ghee,Legal
Gin,Gin,Legal
Ginger,Inkivääri,Legal
Gjetost cheese,Gjetost juusto,Illegal
Glucose candy,glukoosi karkki,Illegal
Glycerin,glyseriini,Legal
Glycerol,glyseroli,Legal
Goatein,Goatein,Illegal
Gorgonzola cheese,gorgonzola juusto,Legal
Gouda cheese,gouda juusto,Legal
Granulated glucose,rakeistettu glukoosi,Illegal
Grape juice,Greippimehu,Legal
Grapefruit,Greippi,Legal
Grapefruit juice,Greippimehu,Illegal
Grapes,viinirypäleet,Legal
Grapeseed oil,Rypälesiemenöljy,Legal
Green tea,Vihreä tee,Legal
Gruyere cheese,Gruyère juusto,Legal
Guar Gum,Guarkumi,Illegal
Gums,kumit,Illegal
Ham,Kinkku,Legal
Haricot beans,Valkoinen papu,Legal
Havarti cheese,Havarti juusto,Legal
Hazelnuts (filberts),Hasselpähkinä,Legal
Hemp protein powder,Hamppuproteiinijauhe,illegal
Hemp seed,Hampun siemen,illegal
HN-Zyme,HN-Zyme,Legal
Homemade yogurt,kotitekoinen jogurtti,Legal
Honey,Hunaja,Legal
Horseradish sauce,piparjuurikastiketta,Legal
Hot dogs,hot dogit,Illegal
Hydrolyzed Protein,hydrolysoitu proteiini,Illegal
Ice cream,jäätelö,Illegal
Inositol,inositoli,Illegal
Inulin,inuliini,Illegal
Iron supplements,rautalisät,Illegal
Isoglucose,isoglukoosia,Illegal
Jaggery (gur),raakasokeri,Illegal
Jalapenos,jalapeno,Legal
Jicama,jicama,Illegal
Juice from concentrate,mehutiiviste,Illegal
Kale,Lehtikaali,Legal
Kefir,kefir,Illegal
Ketchup,Ketsuppi,Illegal
Kidney beans,Kidney-pavut,Legal
Kimchi,Kimchi,Legal
Kiwi fruit,kiivi,Legal
Kohlrabi,Kyssäkaali,Illegal
Konjac,konjakki,Illegal
Kudzu (or kuzu),Kudzu (tai kuzu),Illegal
Kumquats,Kumkvatit,Legal
